,LacI protein_amici,LacI protein_copasi,LacI protein_tellurium,TetR protein_amici,TetR protein_copasi,TetR protein_tellurium,cI protein_amici,cI protein_copasi,cI protein_tellurium,LacI mRNA_amici,LacI mRNA_copasi,LacI mRNA_tellurium,TetR mRNA_amici,TetR mRNA_copasi,TetR mRNA_tellurium,cI mRNA_amici,cI mRNA_copasi,cI mRNA_tellurium
245,1433.9010898862346,45.0,1433.8657628524038,51.39892448118861,335.0,51.39917767352557,1433.9010898862346,140.0,1433.8657628524038,29.267815724159814,25.0,29.267445481738903,0.3751974522441227,1.0,0.37518143032338214,29.267815724159814,3.0,29.267445481738903
246,1537.730555823645,40.0,1537.6954082258126,50.60438032137306,384.0,50.60450238068868,1537.730555823645,123.0,1537.6954082258126,30.37901710513517,24.0,30.378713705293325,0.4159298167942633,1.0,0.41591152661392766,30.37901710513517,4.0,30.378713705293325
247,1641.454315663411,38.0,1641.41981718014,50.15522860912822,432.0,50.155212002179134,1641.454315663411,116.0,1641.41981718014,31.309763519295764,24.0,31.309538801279796,0.46251959893277333,1.0,0.4624987225138706,31.309763519295764,4.0,31.309538801279796
248,1743.7675578843787,36.0,1743.734247167308,50.07027342114836,501.0,50.070109051522216,1743.7675578843787,107.0,1743.734247167308,32.029744919684504,21.0,32.02961084211616,0.5157834149910929,1.0,0.5157595978281792,32.029744919684504,5.0,32.02961084211616
249,1843.2557704783396,32.0,1843.22422273007,50.37288966389168,575.0,50.3725665722198,1843.2557704783396,99.0,1843.22422273007,32.51057458080767,18.0,32.51054206736739,0.5766467152428767,1.0,0.5766195574999359,32.51057458080767,4.0,32.51054206736739
250,1938.4188958680393,29.0,1938.3897103003985,51.09149012750758,674.0,51.090994983829916,1938.4188958680393,95.0,1938.3897103003985,32.726971491376936,15.0,32.72704907511871,0.6461568488791145,0.0,0.6461258911552957,32.726971491376936,4.0,32.72704907511871
251,2027.7024007746888,29.0,2027.6761967855,52.260051044614244,758.0,52.25936825614744,2027.7024007746888,85.0,2027.6761967855,32.65814564330257,12.0,32.65833967831565,0.7254972440982717,0.0,0.7254619742738911,32.65814564330257,4.0,32.65833967831565
252,2109.5363431838264,39.0,2109.51366165907,53.918702905084146,806.0,53.917813604263095,2109.5363431838264,81.0,2109.51366165907,32.28939894312925,11.0,32.28971089477911,0.8160027714347666,0.0,0.8159626045332815,32.28939894312925,5.0,32.28971089477911
253,2182.382967370724,51.0,2182.3643884176017,56.11438584757735,892.0,56.11326930911315,2182.382967370724,79.0,2182.3643884176017,31.6138764215809,13.0,31.614305512468594,0.9191761178815907,0.0,0.9191304230609049,31.6138764215809,8.0,31.614305512468594
254,2244.7931928146613,45.0,2244.7792199886617,58.901577252712286,1007.0,58.90020984811546,2244.7931928146613,75.0,2244.7792199886617,30.63432579341495,10.0,30.63486608622093,1.036705159470641,0.0,1.0366532334964,30.63432579341495,8.0,30.63486608622093
